date,close,daily_return,strategy_return,cumulative_return,benchmark_return
2022-06-20,267.15,0.0,0.0,1.0,0.0
2022-06-21,274.2,0.026389668725435245,0.0,1.0,0.026389668725435245
2022-06-22,291.58,0.06338439095550696,0.0,1.0,0.06338439095550696
2022-06-23,302.0,0.03573633308183011,0.0,1.0,0.03573633308183011
2022-06-24,306.43,0.014668874172185431,0.0,1.0,0.014668874172185431
2022-06-27,311.18,0.015501093234996599,0.0,1.0,0.015501093234996599
2022-06-28,318.04,0.022045118580885648,0.0,1.0,0.022045118580885648
2022-06-29,324.29,0.019651616148911977,0.0,1.0,0.019651616148911977
2022-06-30,326.74,0.007554966233926486,0.0,1.0,0.007554966233926486
2022-07-01,327.75,0.0030911428046764833,0.0,1.0,0.0030911428046764833
2022-07-04,327.4,-0.0010678871090771258,-0.0,1.0,-0.0010678871090771258
2022-07-05,321.44,-0.01820403176542451,-0.0,1.0,-0.01820403176542451
2022-07-06,319.35,-0.0065019910403184555,-0.0,1.0,-0.0065019910403184555
2022-07-07,306.26,-0.04098950994206996,-0.0,1.0,-0.04098950994206996
2022-07-08,305.66,-0.0019591197022137408,-0.0,1.0,-0.0019591197022137408
2022-07-11,298.35,-0.02391546162402669,-0.0,1.0,-0.02391546162402669
2022-07-12,290.37,-0.026747109100050293,-0.0,1.0,-0.026747109100050293
2022-07-13,291.82,0.004993628818404039,0.0,1.0,0.004993628818404039
2022-07-14,302.3,0.03591254883147155,0.0,1.0,0.03591254883147155
2022-07-15,309.47,0.023718160767449703,0.0,1.0,0.023718160767449703
2022-07-18,297.7,-0.03803276569619041,-0.0,1.0,-0.03803276569619041
2022-07-19,290.57,-0.02395028552233791,-0.0,1.0,-0.02395028552233791
2022-07-20,297.63,0.024297071273703397,0.0,1.0,0.024297071273703397
2022-07-21,290.55,-0.02378792460437451,-0.0,1.0,-0.02378792460437451
2022-07-22,289.06,-0.00512820512820511,-0.0,1.0,-0.00512820512820511
2022-07-25,293.21,0.014356880924375481,0.0,1.0,0.014356880924375481
2022-07-26,286.33,-0.02346441117287945,-0.0,1.0,-0.02346441117287945
2022-07-27,287.23,0.0031432263472217503,0.0,1.0,0.0031432263472217503
2022-07-28,277.94,-0.032343418166626114,-0.0,1.0,-0.032343418166626114
2022-07-29,273.93,-0.01442757429661079,-0.0,1.0,-0.01442757429661079
2022-08-01,276.26,0.008505822655422879,0.0,1.0,0.008505822655422879
2022-08-02,265.61,-0.03855064070078906,-0.0,1.0,-0.03855064070078906
2022-08-03,268.68,0.011558299762810087,0.0,1.0,0.011558299762810087
2022-08-04,268.68,0.0,0.0,1.0,0.0
2022-08-05,272.55,0.01440375167485497,0.0,1.0,0.01440375167485497
2022-08-08,274.21,0.006090625573289099,0.0,1.0,0.006090625573289099
2022-08-09,283.86,0.035192006126691266,0.0,1.0,0.035192006126691266
2022-08-10,284.89,0.003628549284858673,0.0,1.0,0.003628549284858673
2022-08-11,281.99,-0.01017936747516579,-0.0,1.0,-0.01017936747516579
2022-08-12,282.99,0.0035462250434412645,0.0,1.0,0.0035462250434412645
